EffectiveThreadNum,GenNum,Gen_Rate[1/us],Avg_Gen_Time[us],Tile_Rate[1/us],Avg_Tile_Time[us],Total_Time[us]
9,1,inf,0,inf,0,0
9,1,1.94004e-007,5.15453e+006,2.44445e-005,2.70136e+006,5.15453e+006
20,1,2.13493e-005,46840,0.00853971,25870.5,46840
64,1,9.69925e-007,1.03101e+006,0.00397281,543028,1.03101e+006
100,1,1.78037e-008,5.6168e+007,1.78037e-006,4.08407e+007,5.6168e+007
100,1,6.61299e-008,1.51218e+007,6.61299e-006,1.3905e+007,1.51218e+007
100,100,4.7705e-008,2.09621e+007,4.7705e-006,2.0889e+007,2.09621e+009
20,100,0.000447533,2234.47,0.00895067,2189.04,223447
20,100,0.000447718,2233.55,0.00895436,2210.73,223355
64,100,4.02372e-005,24852.7,0.00257518,24566.7,2.48526e+006
20,100,0.000466459,2143.81,0.00932918,354.509,214381
64,100,4.05175e-005,24680.7,0.00259312,12018.8,2.46807e+006
20,100,0.000336929,2967.98,0.00673859,70.3225,296798
